"link","url"
"Amos ","https://amos.quebec/medias/Couche-lavable-formulaire-subvention.pdf"
"Barraute","https://71748b48-536a-4845-9101-a9011d5929bd.filesusr.com/ugd/f80962_d3288360054f4373a02989af4965cb7a.pdf"
"La Sarre ","http://www.ville.lasarre.qc.ca/documents/pages/programme-aide-couches-lavables.pdf"
"Rouyn-Noranda","http://www.ville.rouyn-noranda.qc.ca/fr/page/subvention-pour-achat-de-produits-reutilisables/"
"Vallée de l'or","https://bondebarras.mrcvo.qc.ca/programme-de-subvention/"
"MRC de La Matapédia et de La Mitis","https://www.ecoregie.ca/reduction-a-la-source/subvention-couches-lavables.html#:~:text=Ce%20programme%20est%20simple%2C%20au,r%C3%A9siduelles%20d'au%20moins%20une"
"Pohénégamook","http://pohenegamook.net/citoyens/services-municipaux/urbanisme-et-environnement/programme-de-subvention-pour-lachat-de-couches-lavables/"
"Rimouski","https://rimouski.ca/faq/couches-lavables"
"Rivière-du-Loup","https://villerdl.ca/fr/services/services-aux-citoyens/programmes#:~:text=Achat%20de%20couches%20lavables&text=L'incitatif%20vers%C3%A9%20couvre%2050,les%20autres%20cat%C3%A9gories%20de%20produits."
"Saint-Alexandre-de-Kamouraska ","https://www.stalexkamouraska.com/pages/programmes-de-soutien"
"Saint-Antonin","http://www.municipalite.saint-antonin.qc.ca/communiques/?id=e2020396"
"Sainte-Anne-de-la-Pocatière","https://www.lapocatiere.ca/services-aux-citoyens/programme-et-subventions/programme-de-subvention-a-lachat-de-couches-lavables/"
"Saint-Pacôme","http://www.st-pacome.ca/wp-content/uploads/2020/12/341-R%C3%A8glement-%C3%A9tablissant-un-programme-daide-financi%C3%A8re-pour-lachat-de-couches-lavables.pdf"
"Sayabec","https://subventioncoucheslavables.com/mixte/pdf/sayabec.pdf"
"Ste-Luce","https://sainteluce.ca/citoyen/famille.php"
"St-Pascal","https://villesaintpascal.com/wp-content/uploads/2017/05/Formulaire-programme-couches-lavables-%C3%A0-compl%C3%A9ter.pdf"
"Beaupré","https://www.villedebeaupre.com/pages/programmes-daide"
"Boischatel","https://www.boischatel.ca/citoyens/programmes-aide/"
"Cap-Santé","https://capsante.qc.ca/subventions"
"Deschambault-Grondines","https://deschambault-grondines.com/wp-content/uploads/2020/10/Programme-couches-lavables.pdf"
"Île D'Orléans","http://mrc.iledorleans.com/fra/services/pgmr-collecte-dechet-et-recyclage/reduction-a-la-source.asp"
"Lac-Delage","https://www.lacdelage.qc.ca/pages/Environnement"
"Lévis","https://www.ville.levis.qc.ca/environnement-et-collectes/aide-financiere/couches-lavables/"
"MRC Charlevoix-Est","http://mescollectes.ca/programme-aide-financiere-couches-lavables/"
"Saint-Gabriel-de-Valcartier","http://saint-gabriel-de-valcartier.ca/wp-content/uploads/Formulaire-couches-r%C3%A9utilisables-1.pdf"
"Sainte-Brigitte-de-Laval","https://sbdl.net/formulaire-de-demande-daide-pour-lutilisation-de-couches-lavables/"
"Stoneham-et-Tewkesbury","https://www.villestoneham.com/citoyens/environnement/collectes-et-matieres-residuelles#programmes-et-subventions"
"Portneuf","https://villedeportneuf.com/file-8884"
"Bécancour","https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Chesterville","https://cdn.shopify.com/s/files/1/0370/8531/5131/files/Depliant_couches_lavables.pdf?v=1594734215"
"Deschaillons-sur-Saint-Laurent","https://www.mrclotbiniere.org/services-aux-citoyens/programmes-et-mesures/couches-reutilisables/"
"Kingsey Falls","https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Lyster","https://lyster.ca/programmes-offerts/achat-de-couches-en-coton/"
"Nicolet","https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Parisville","https://www.mrclotbiniere.org/services-aux-citoyens/programmes-et-mesures/couches-reutilisables/"
"Plessisville","https://plessisville.quebec/affaires/programme-d-aide-financiere/couches-lavables/"
"Princeville ","https://villedeprinceville.qc.ca/programme-aide-achat-couches-lavables/"
"Saint-Cyrille-de-Wendover","https://www.stcyrille.qc.ca/documents/couches-lavables-politique-de-remboursement"
"Saint-Louis-de-Gonzague","http://saint-louis-de-gonzague.com/news/couches-lavables/"
"Tingwick","https://www.tingwick.ca/articles/subvention-pour-l-utilisation-de-couches-lavables"
"Victoriaville","https://www.victoriaville.ca/page/1358/subvention-pour-lutilisation-des-couches-lavables.aspx"
"Yamaska","https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"MRC Lotbinière","https://www.mrclotbiniere.org/services-aux-citoyens/programmes-et-mesures/couches-reutilisables/"
"Sainte-Marie","https://www.sainte-marie.ca/2018/09/revision-du-programme-de-subvention-pour-lachat-de-couches-lavables/"
"Saint-Georges","http://www.saint-georges.ca/vivre-a-saint-georges/environnement/couches-lavables/#:~:text=Dans%20le%20cadre%20de%20sa,pour%20les%20couches%20de%20coton.&text=vous%20devez%20faire%20l'achat,coton%20(minimum%2024%20couches)."
"Thetford Mines","https://www.villethetford.ca/vivre-a-thetford/programmes-daide-financiere/couches-lavables/"
"Sept-Îles","https://ville.sept-iles.qc.ca/fr/couches-lavables_156/"
"Asbestos","https://valdessources.ca/wp-content/uploads/2019/02/Formulaire_-_Programme_de_subvention_-_couches_lavables.pdf"
"Barnston-Ouest","https://www.barnston-ouest.ca/fr/citoyen/familles-aines-et-loisirs.php"
"Cantons de Hatley","https://cantondehatley.ca/gestion/programme-produits-hygieniques-reutilisables/"
"Coaticook","https://www.coaticook.ca/upload/DOCUMENTS/formulaire%20programme%20couche%20incontinence%20diva%20cup%20etc%20(2021).docx"
"Compton","https://www.compton.ca/fr/citoyen/familles_aines_jeunes.php"
"Cookshire-Eaton","https://www.cookshire-eaton.qc.ca/couches-lavables-aide-financiere/"
"Danville","https://danville.ca/fichiers/couche_lavable_2017_0.pdf"
"Dudswell","http://municipalitededudswell.ca/programme-daide-pour-lachat-de-couches-lavables/"
"Farnham","https://www.ville.farnham.qc.ca/wp-content/uploads/2016/06/Politique-couches.pdf"
"Lac Mégantic","https://www.ville.lac-megantic.qc.ca/subventions-pour-lachat-de-couches-reutilisables-2/#:~:text=La%20Ville%20de%20Lac%2DM%C3%A9gantic,Les%20couches%20lavables%20sont%20%3A&text=%C3%A9conomiques%20%3A%20Pour%20deux%20ans%20et,300%20%24%20pour%20des%20couches%20lavables."
"Magog","https://www.ville.magog.qc.ca/informations-services/programmes-et-subventions/"
"MRC du Val-Saint-François","https://www.val-saint-francois.qc.ca/services/couches-lavables/"
"Saint-Herménégilde","https://www.st-hermenegilde.ca/fr/citoyens/familles-et-aines.php"
"Sherbrooke","https://www.sherbrooke.ca/fr/services-a-la-population/subventions-et-aide-financiere/produits-d-hygiene-durables"
"St-Georges-de-Windsor ","https://vplus-documents.s3.ca-central-1.amazonaws.com/saint-georges-de-windsor/_publication/fichiers/couches-2.pdf"
"Carleton-sur-Mer","https://carletonsurmer.com/osons-vert/"
"Chandler","https://www.facebook.com/villedechandler/photos/a.189547274411062/4054607204571697/?type=3&theater"
"Îles de la Madeleine","https://www.muniles.ca/services-aux-citoyens/familles-et-aines/"
"Matane","https://www.environnementmatane.ca/environnement/fonds-vert/projets-realises.html"
"Crabtree","https://crabtree.quebec/wp-content/uploads/2018/04/politique-daide-financiere-pour-lachat-de-couches-lavables-depliant.pdf"
"L'Assomption","https://app.smartsheet.com/b/form/6a63799398a349cfb91878386dd9e96a"
"L'Épiphanie","http://www.lepiphanie.ca/Programme%20subvention%20Couches%20lavables-2019-2.pdf"
"Mascouche","https://mascouche.ca/services-aux-citoyens/subventions/subventions-environnementales/"
"MRC de d'Autray ","http://www.mrcautray.qc.ca/programmes/aide-utilisation-couches-lavables/"
"Notre-Dame-des-Prairies","https://www.notredamedesprairies.com/famille-et-communaute/programmes-de-subvention/#:~:text=C'est%20une%20subvention%20pouvant,un%20geste%20pour%20l'environnement."
"Rawdon","https://rawdon.ca/citoyen/environnement/programmes-aides-financieres/"
"Repentigny","https://www.ville.repentigny.qc.ca/vie-citoyenne/environnement/activites-municipales/couches-lavables-(1).html"
"Sainte-Émélie-de-l’Énergie","https://steemelie.ca/fr/vivre/environnement/programme-couches"
"Sainte-Julienne","https://www.sainte-julienne.com/environnement/couches-reutilisables/"
"Saint-Liguori","https://www.saint-liguori.com/index.php?option=com_content&view=article&id=44:subvention-couches-lavables&catid=13&Itemid=113"
"Saint-Lin-Laurentides","https://www.saint-lin-laurentides.com/culture-et-communaute/famille/subventions-aux-familles"
"Saint-Paul","https://saintpaul.quebec/services-aux-citoyens/politiques-programmes-soutien/"
"St-Alphonse-Rodriguez","https://www.municipalite.saintalphonserodriguez.qc.ca/subvention-pour-lachat-de-couches-lavables-et-de-produits-durables-dhygiene-feminine"
"St-Félix-de-Valois","https://www.st-felix-de-valois.com/wp-content/uploads/2017/12/medias_2013_07_demande-subvention-couches-coton.pdf"
"Saint-Roch-de-l’Achigan","https://www.sra.quebec/programmes-de-subventions"
"St-Roch-Ouest","http://www.saint-roch-ouest.ca/cms/index.php/vivre-ici/couches-reutilisables"
"Terrebonne","https://www.ville.terrebonne.qc.ca/couches-lavables"
"Blainville","https://blainville.ca/storage/app/media/Ville/Administration%20municipale/Soutien%20financier/form_couches_reutilisables.pdf"
"Boisbriand","https://www.ville.boisbriand.qc.ca/environnement/couches-lavables-et-produits-sanitaires-durables"
"Bois-Des-Filion","https://subventioncoucheslavables.com/mixte/pdf/pDFprog_couche2010boisdesfilion-2.pdf"
" Brownsburg-Chatham","https://www.riadm.ca/index.php/nos-activites/programme-daide-financiere-couches-lavables/"
"Chute-Saint-Philippe","https://www.chute-saint-philippe.ca/subvention-couches-lavables"
"Deux-Montagnes","https://www.ville.deux-montagnes.qc.ca/services-municipaux/services-aux-citoyens/programme-une-naissance-un-livre-un-arbre-un-environnement-sain/"
"Labelle","https://subventioncoucheslavables.com/mixte/pdf/labelle.pdf"
"Lac-des-Écorces","https://www.lacdesecorces.ca/subvention-couches-lavables"
"Lachute","https://www.riadm.ca/index.php/nos-activites/programme-daide-financiere-couches-lavables/"
"Lorraine","https://ville.lorraine.qc.ca/environnement/subventions"
"Mirabel","https://mirabel.ca/ville/administration/subventions"
"Mont Tremblant ","https://www.villedemont-tremblant.qc.ca/public_upload/files/citoyen/programmes/formulaire-bbcolo.pdf?v=75301"
"Oka","https://www.municipalite.oka.qc.ca/nouvelles-programme-d-aide-pour-l-achat-de-couches-lavables/"
"Piedmont","https://www.piedmont.ca/DATA/DOCUMENT/356~v~formulaire-de-demande-de-subvention_couches-reutilisables.pdf"
