"MRC","Municipalite","Arrondissement","url"
"Abitibi","Amos",NA,"https://amos.quebec/medias/Couche-lavable-formulaire-subvention.pdf"
"Abitibi","Barraute",NA,"https://71748b48-536a-4845-9101-a9011d5929bd.filesusr.com/ugd/f80962_d3288360054f4373a02989af4965cb7a.pdf"
"Abitibi-Ouest","La Sarre",NA,"http://www.ville.lasarre.qc.ca/documents/pages/programme-aide-couches-lavables.pdf"
"Acton","Béthanie",NA,"http://municipalitedebethanie.ca/services-offerts/"
"Antoine-Labelle","Chute-Saint-Philippe",NA,"https://www.chute-saint-philippe.ca/subvention-couches-lavables"
"Antoine-Labelle","Lac-des-Écorces",NA,"https://www.lacdesecorces.ca/subvention-couches-lavables"
"Argenteuil","Brownsburg-Chatham",NA,"https://www.riadm.ca/index.php/nos-activites/programme-daide-financiere-couches-lavables/"
"Argenteuil","Lachute",NA,"https://www.riadm.ca/index.php/nos-activites/programme-daide-financiere-couches-lavables/"
"Argenteuil","Saint-André-d'Argenteuil",NA,"https://www.riadm.ca/index.php/nos-activites/programme-daide-financiere-couches-lavables/"
"Arthabaska","Chesterville",NA,"https://cdn.shopify.com/s/files/1/0370/8531/5131/files/Depliant_couches_lavables.pdf?v=1594734215"
"Arthabaska","Kingsey Falls",NA,"https://www.rigidbny.com/2019/12/30/modification-du-programme-de-couches-lavables/"
"Arthabaska","Tingwick",NA,"https://www.tingwick.ca/articles/subvention-pour-l-utilisation-de-couches-lavables"
"Arthabaska","Victoriaville",NA,"https://www.victoriaville.ca/page/1358/subvention-pour-lutilisation-des-couches-lavables.aspx"
"Avignon","Carleton-sur-Mer",NA,"https://carletonsurmer.com/osons-vert/"
"Beauce-Sartigan","Saint-Georges",NA,"http://www.saint-georges.ca/vivre-a-saint-georges/environnement/couches-lavables/#:~:text=Dans%20le%20cadre%20de%20sa,pour%20les%20couches%20de%20coton.&text=vous%20devez%20faire%20l'achat,coton%20(minimum%2024%20couches)."
